Win 32 APPs Name                                                                                    | Version              
Microsoft Visual C++ 2017 x86 Debug Runtime - 14.13.26020                                             14.13.26020          
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005                                         12.0.21005           
Microsoft Visual Studio Setup Configuration                                                           1.15.3213.55575      
WPT Redistributables                                                                                  10.1.17134.1         
Windows SDK Desktop Headers arm                                                                       10.1.16299.15        
Universal CRT Extension SDK                                                                           10.1.16299.15        
Adobe Refresh Manager                                                                                 1.8.0                
Adobe Acrobat Reader DC - Chinese Traditional                                                         18.011.20055         
WinRT Intellisense Mobile - en-us                                                                     10.1.16299.15        
TypeScript SDK                                                                                        2.6.5.0              
Toolkit Documentation                                                                                 10.1.17134.1         
Microsoft Azure Libraries for .NET – v2.9                                                             3.0.0127.060         
Windows SDK for Windows Store Apps Libs                                                               10.1.16299.15        
vs_Graphics_Singletonx64                                                                              15.0.27005           
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005                                            12.0.21005           
WP_CPTT_NT-x86-fre                                                                                    10.1.17134.1         
Python 3.6.3 Executables (64-bit symbols)                                                             3.6.3150.0           
VS Immersive Activate Helper                                                                          16.0.76.0            
Python 3.6.3 Test Suite (64-bit)                                                                      3.6.3150.0           
Windows App Certification Kit SupportedApiList x86                                                    10.1.16299.15        
IntelliTraceProfilerProxy                                                                             15.0.17289.01        
Qualcomm Atheros Setup                                                                                1.00.0000            
Microsoft SQL Server 2012 Command Line Utilities                                                      11.3.6020.0          
SDK ARM Additions                                                                                     10.1.16299.15        
WinRT Intellisense Desktop - en-us                                                                    10.1.16299.15        
Windows SDK for Windows Store Managed Apps Libs                                                       10.1.16299.15        
Microsoft System CLR Types for SQL Server 2017                                                        14.0.3006.16         
Microsoft .NET Framework 4.6 Targeting Pack                                                           4.6.00081            
Microsoft Visual C++ 2017 x64 Additional Runtime - 14.12.25810                                        14.12.25810          
Microsoft NetStandard SDK                                                                             15.0.51105           
Windows IoT Extension SDK Contracts                                                                   10.1.16299.15        
Windows App Certification Kit Native Components                                                       10.1.16299.15        
Python 3.6.3 Standard Library (64-bit symbols)                                                        3.6.3150.0           
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU)                         4.7.02558            
Microsoft .NET Core Runtime - 2.0.5 (x64)                                                             16.20.26021          
vs_filehandler_x86                                                                                    15.6.27406           
