Driver Name                                                                     | Version              
HID-compliant vendor-defined device                                               10.0.17134.112       
USB Input Device                                                                  10.0.17134.112       
HID Keyboard Device                                                               10.0.17134.1         
USB Input Device                                                                  10.0.17134.112       
HID Keyboard Device                                                               10.0.17134.1         
USB Input Device                                                                  10.0.17134.112       
USB Composite Device                                                              10.0.17134.1         
USB Video Device                                                                  10.0.17134.1         
USB Composite Device                                                              10.0.17134.1         
USB Root Hub (USB 3.0)                                                            10.0.17134.112       
USB xHCI Compliant Host Controller                                                10.0.17134.1         
Intel(R) Thermal Subsystem - A379                                                 10.1.16.5            
Intel(R) Gaussian Mixture Model - 1911                                            10.1.7.2             
Intel(R) Dynamic Platform and Thermal Framework Processor Participant             8.4.11000.6436       
Generic PnP Monitor                                                               10.0.17134.1         
Intel(R) Grfx VK binaries                                                         24.20.100.6169       
Intel(R) Media SDK binaries                                                       24.20.100.6169       
Intel(R) Graphics Control Panel                                                   24.20.100.6169       
Intel(R) UHD Graphics 630                                                         24.20.100.6169       
NVIDIA GeForce GTX 1070                                                           24.21.13.9835        
Intel(R) PCIe Controller (x16) - 1901                                             10.1.7.2             
Intel(R) Host Bridge/DRAM Registers - 3EC4                                        10.1.14.4            
PCI Express Root Complex                                                          10.0.17134.1         
Microsoft ACPI-Compliant System                                                   10.0.17134.1         
ACPI x64-based PC                                                                 10.0.17134.1         
Charge Arbitration Driver                                                         10.0.17134.1         
UMBus Enumerator                                                                  10.0.17134.1         
Remote Desktop USB Hub                                                            10.0.17134.1         
UMBus Enumerator                                                                  10.0.17134.1         
UMBus Enumerator                                                                  10.0.17134.1         
UMBus Enumerator                                                                  10.0.17134.1         
UMBus Root Bus Enumerator                                                         10.0.17134.1         
Microsoft Kernel Debug Network Adapter                                            10.0.17134.1         
Microsoft Storage Spaces Controller                                               10.0.17134.137       
Microsoft Virtual Drive Enumerator                                                10.0.17134.1         
Composite Bus Enumerator                                                          10.0.17134.1         
Microsoft Basic Display Driver                                                    10.0.17134.1         
Volume                                                                            10.0.17134.1         
Volume                                                                            10.0.17134.1         
Volume                                                                            10.0.17134.1         
Volume                                                                            10.0.17134.1         
Volume                                                                            10.0.17134.1         
Volume Manager                                                                    10.0.17134.137       
