Driver Name                                                                     Version              Build Date  Vendor
HID-compliant mouse                                                             10.0.17134.1         20060621    Microsoft
I2C HID Device                                                                  10.0.17134.1         20060621    Microsoft
Intel(R) Serial IO I2C Host Controller - A161                                   30.100.1724.1        20170614    Intel Corporation
Intel(R) Serial IO I2C Host Controller - A160                                   30.100.1724.1        20170614    Intel Corporation
Intel(R) 100 Series/C230 Series Chipset Family Thermal subsystem - A131         10.1.1.38            19700101    INTEL
Bluetooth Device (Personal Area Network)                                        10.0.17134.1         20060621    Microsoft
Bluetooth Device                                                                10.0.17134.137       20060621    Microsoft
Bluetooth Hands-Free                                                            10.0.17134.1         20180411    Microsoft
Bluetooth Hands-Free Audio and Call Control HID Enumerator                      10.0.17134.1         20180410    Microsoft
Microsoft Bluetooth Avrcp Transport Driver                                      10.0.17134.1         20180410    Microsoft
Microsoft Bluetooth Avrcp Transport Driver                                      10.0.17134.1         20180410    Microsoft
Bluetooth Stereo                                                                10.0.17134.1         20180411    Microsoft
Microsoft Bluetooth Enumerator                                                  10.0.17134.137       20060621    Microsoft
Bluetooth Device (RFCOMM Protocol TDI)                                          10.0.17134.1         20060621    Microsoft
Microsoft Bluetooth LE Enumerator                                               10.0.17134.1         20060621    Microsoft
Qualcomm Atheros Bluetooth 4.1                                                  10.0.0.303           20170322    Qualcomm Atheros Communications
HID-compliant mouse                                                             10.0.17134.1         20060621    Microsoft
USB Input Device                                                                10.0.17134.112       20060621    Microsoft
HID-compliant consumer control device                                           10.0.17134.1         20060621    Microsoft
HID-compliant vendor-defined device                                             10.0.17134.112       20060621    Microsoft
USB Input Device                                                                10.0.17134.112       20060621    Microsoft
HID Keyboard Device                                                             10.0.17134.1         20060621    Microsoft
USB Input Device                                                                10.0.17134.112       20060621    Microsoft
USB Composite Device                                                            10.0.17134.1         20060621    Microsoft
USB Video Device                                                                10.0.17134.1         20060621    Microsoft
USB Composite Device                                                            10.0.17134.1         20060621    Microsoft
HID-compliant vendor-defined device                                             10.0.17134.112       20060621    Microsoft
HID-compliant vendor-defined device                                             10.0.17134.112       20060621    Microsoft
HID-compliant vendor-defined device                                             10.0.17134.112       20060621    Microsoft
USB Input Device                                                                10.0.17134.112       20060621    Microsoft
HID-compliant vendor-defined device                                             10.0.17134.112       20060621    Microsoft
HID-compliant system controller                                                 10.0.17134.112       20060621    Microsoft
HID-compliant consumer control device                                           10.0.17134.1         20060621    Microsoft
HID-compliant mouse                                                             10.0.17134.1         20060621    Microsoft
USB Input Device                                                                10.0.17134.112       20060621    Microsoft
HID Keyboard Device                                                             10.0.17134.1         20060621    Microsoft
Logitech USB Input Device                                                       1.10.78.0            20160909    Logitech
USB Composite Device                                                            10.0.17134.1         20060621    Microsoft
USB Root Hub (USB 3.0)                                                          10.0.17134.112       20180608    Microsoft
USB xHCI Compliant Host Controller                                              10.0.17134.1         20180410    Microsoft
Intel(R) Dynamic Platform and Thermal Framework Processor Participant           8.2.11000.2996       20160810    Intel
Generic PnP Monitor                                                             10.0.17134.1         20060621    Microsoft
Generic PnP Monitor                                                             10.0.17134.1         20060621    Microsoft
NVIDIA GeForce GTX 1070                                                         22.21.13.8290        20170801    NVIDIA
Intel(R) Xeon(R) E3 - 1200/1500 v5/6th Gen Intel(R) Core(TM) PCIe Controller (x16) - 190110.1.1.38            20161003    INTEL
Intel(R) Xeon(R) E3 - 1200 v6/7th Gen Intel(R) Core(TM) Host Bridge/DRAM Registers - 591010.1.1.38            20161003    INTEL
PCI Express Root Complex                                                        10.0.17134.1         20060621    Microsoft
Microsoft ACPI-Compliant System                                                 10.0.17134.1         20060621    Microsoft
ACPI x64-based PC                                                               10.0.17134.1         20060621    Microsoft
Charge Arbitration Driver                                                       10.0.17134.1         20060621    Microsoft
UMBus Enumerator                                                                10.0.17134.1         20060621    Microsoft
Remote Desktop USB Hub                                                          10.0.17134.1         20060621    Microsoft
UMBus Enumerator                                                                10.0.17134.1         20060621    Microsoft
UMBus Enumerator                                                                10.0.17134.1         20060621    Microsoft
UMBus Enumerator                                                                10.0.17134.1         20060621    Microsoft
UMBus Root Bus Enumerator                                                       10.0.17134.1         20060621    Microsoft
Microsoft Kernel Debug Network Adapter                                          10.0.17134.1         20060621    Microsoft
Microsoft Storage Spaces Controller                                             10.0.17134.137       20060621    Microsoft
Microsoft Virtual Drive Enumerator                                              10.0.17134.1         20060621    Microsoft
Composite Bus Enumerator                                                        10.0.17134.1         20060621    Microsoft
Microsoft Basic Display Driver                                                  10.0.17134.1         20060621    Microsoft
Volume                                                                          10.0.17134.1         20060621    Microsoft
Volume                                                                          10.0.17134.1         20060621    Microsoft
Volume                                                                          10.0.17134.1         20060621    Microsoft
Volume                                                                          10.0.17134.1         20060621    Microsoft
Volume                                                                          10.0.17134.1         20060621    Microsoft
Volume Manager                                                                  10.0.17134.137       20060621    Microsoft
